From Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),Temp (degree C),RH (%),WS (m/s),WD (deg),SR (W/mt2),AT (degree C)
2021-10-20 09:00:00,87.21,178.18,9.11,46.71,55.82,27.77503817202344,12.562969638194955,1.2,34.4,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-20 10:00:00,124.74,217.18,7.67,39.36,47.03,27.77503817202344,12.562969638194955,1.19,51.92,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-20 11:00:00,144.69,236.48,6.92,29.16,36.07,27.77503817202344,12.562969638194955,1.18,64.32,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-20 12:00:00,125.68,200.86,6.77,22.46,29.23,27.77503817202344,12.562969638194955,1.15,65.68,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-20 13:00:00,120.18,178.24,6.65,20.89,27.54,27.77503817202344,12.562969638194955,1.1,69.94,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-20 14:00:00,105.04,167.87,6.6,21.44,28.02,27.77503817202344,12.562969638194955,1.06,71.52,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-20 15:00:00,84.98,148.72,6.56,25.07,31.64,27.77503817202344,12.562969638194955,1.04,62.85,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-20 16:00:00,70.38,145.69,6.42,29.23,35.7,27.77503817202344,12.562969638194955,1.02,61.02,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-21 08:00:00,55.7,146.4,24.75,64.39,89.18,27.77503817202344,12.562969638194955,1.44,18.02,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-21 09:00:00,67.9,169.11,12.53,55.52,68.05,27.77503817202344,12.562969638194955,1.35,32.42,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-21 10:00:00,72.43,226.24,9.34,47.12,56.45,27.77503817202344,12.562969638194955,1.29,46.44,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-21 11:00:00,216.31,252.15,8.18,40.06,48.25,27.77503817202344,12.562969638194955,1.2,56.84,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-21 12:00:00,366.97,244.36,7.2,28.32,35.53,27.77503817202344,12.562969638194955,1.14,63.11,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-21 13:00:00,227.73,192.27,6.91,22.94,29.85,27.77503817202344,12.562969638194955,1.03,65.1,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-21 14:00:00,65.32,175.05,7.0,26.62,33.62,27.77503817202344,12.562969638194955,0.98,67.86,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-21 15:00:00,51.57,175.14,6.83,26.66,33.48,27.77503817202344,12.562969638194955,0.92,60.5,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-21 16:00:00,38.01,162.42,6.63,34.43,41.07,27.77503817202344,12.562969638194955,0.88,57.91,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-22 08:00:00,33.88,102.67,9.37,31.41,40.78,27.77503817202344,12.562969638194955,1.32,31.53,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-22 09:00:00,45.81,118.45,8.85,28.35,37.2,27.77503817202344,12.562969638194955,1.2,38.64,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-22 10:00:00,60.06,120.22,8.05,26.88,34.94,27.77503817202344,12.562969638194955,1.11,46.54,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-22 11:00:00,61.79,134.77,8.01,26.69,34.71,27.77503817202344,12.562969638194955,0.82,57.76,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-22 12:00:00,66.88,121.99,7.05,16.93,23.98,27.77503817202344,12.562969638194955,0.72,53.96,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-22 13:00:00,47.28,104.82,7.91,17.41,25.31,27.77503817202344,12.562969638194955,0.7,60.77,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-22 14:00:00,42.25,108.33,6.87,15.67,6.28,27.77503817202344,12.562969638194955,0.64,61.01,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-22 15:00:00,49.36,106.16,82.69,55.33,96.02,27.77503817202344,12.562969638194955,0.58,59.82,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-22 16:00:00,57.5,112.62,10.19,17.62,27.8,27.77503817202344,12.562969638194955,0.53,59.18,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-23 08:00:00,62.17,135.96,57.33,112.45,169.84,27.77503817202344,12.562969638194955,1.68,17.9,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-23 09:00:00,93.62,174.82,28.04,106.57,134.67,27.77503817202344,12.562969638194955,1.62,24.84,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-23 10:00:00,66.71,132.7,10.33,38.29,48.63,27.77503817202344,12.562969638194955,1.5,45.25,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-23 11:00:00,51.68,109.0,15.16,43.53,58.64,27.77503817202344,12.562969638194955,1.35,57.81,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-23 12:00:00,56.21,117.76,7.95,24.86,32.81,27.77503817202344,12.562969638194955,1.23,70.91,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-23 13:00:00,48.09,102.07,7.6,27.46,35.07,27.77503817202344,12.562969638194955,1.12,70.81,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-23 14:00:00,19.7,95.46,7.02,28.59,35.62,27.77503817202344,12.562969638194955,1.02,77.4,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-23 15:00:00,51.08,112.89,6.55,25.7,32.26,27.77503817202344,12.562969638194955,0.95,78.48,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-23 16:00:00,42.77,108.53,6.5,34.86,41.36,27.77503817202344,12.562969638194955,0.93,59.67,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-24 08:00:00,71.69,128.88,11.66,56.5,68.16,27.77503817202344,12.562969638194955,1.25,29.09,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-24 09:00:00,69.14,132.12,8.76,42.5,51.26,27.77503817202344,12.562969638194955,1.19,41.75,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-24 10:00:00,76.64,138.22,8.08,35.38,43.45,27.77503817202344,12.562969638194955,1.13,57.37,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-24 11:00:00,93.23,154.56,7.78,43.43,51.21,27.77503817202344,12.562969638194955,1.08,71.69,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-24 12:00:00,118.79,189.44,6.75,34.37,41.12,27.77503817202344,12.562969638194955,1.05,84.0,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-24 13:00:00,95.29,155.37,6.5,21.43,27.92,27.77503817202344,12.562969638194955,0.99,75.9,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-24 14:00:00,58.8,108.45,6.49,22.17,28.65,27.77503817202344,12.562969638194955,0.94,68.44,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-24 15:00:00,54.14,96.85,6.74,30.17,36.94,27.77503817202344,12.562969638194955,0.92,58.21,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-24 16:00:00,53.43,90.47,6.33,36.04,42.43,27.77503817202344,12.562969638194955,0.89,48.54,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-25 08:00:00,32.21,58.76,17.25,63.74,81.01,27.77503817202344,12.562969638194955,0.85,20.9,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-25 09:00:00,55.82,82.51,11.95,54.32,66.28,27.77503817202344,12.562969638194955,0.85,28.82,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-25 10:00:00,68.31,91.3,9.12,45.6,54.72,27.77503817202344,12.562969638194955,0.85,43.64,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-25 11:00:00,64.68,81.24,7.57,34.62,42.19,27.77503817202344,12.562969638194955,0.85,56.09,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
2021-10-25 12:00:00,60.62,78.46,7.24,29.86,37.1,27.77503817202344,12.562969638194955,0.83,59.57,27.454442202523524,65.51356002274453,1.5410203286365634,180.11274390508322,,
